Location,Country,Region/City,Disease,Species,Feed Language,HealthMap Alert ID,URL,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,SC,SD,CC,CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Guinea,Guinea,Guekedou,Ebola,Humans,NA,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,3/31/14 11:19,No Tag,4,NA,NA,NA,NA,NA,6,NA,NA,ProMED Mail,WHO/AFRO [edited],NA
Guinea,Guinea,Macenta,Ebola,Humans,NA,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,3/31/14 11:19,No Tag,1,NA,NA,NA,NA,NA,7,NA,NA,ProMED Mail,WHO/AFRO [edited],NA
Guinea,Guinea,Dabola,Ebola,Humans,NA,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,3/31/14 11:19,No Tag,1,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,WHO/AFRO [edited],NA
Liberia,Liberia,NA,Ebola,Humans,NA,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,3/31/14 11:19,No Tag,NA,NA,NA,NA,NA,NA,2,NA,NA,ProMED Mail,WHO/AFRO [edited],NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,3/31/14 11:19,No Tag,NA,NA,NA,NA,NA,2,NA,NA,NA,ProMED Mail,WHO/AFRO [edited],NA
Guinea,Guinea,NA,Ebola,Humans,NA,2369368,"PRO/AH/EDR> Ebola virus disease - West Africa (03): Liberia, timeline",http://promedmail.org/direct.php?id=20140331.2369368,3/31/14 11:30,No Tag,NA,NA,NA,NA,NA,59,NA,NA,NA,ProMED Mail,"Daily Observer, Liberia [edited]",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2371054,"PRO/AH/EDR> Ebola virus disease - West Africa (04): Guinea, Liberia",http://promedmail.org/direct.php?id=20140331.2371054,3/31/14 22:51,No Tag,NA,NA,NA,NA,103,66,NA,NA,NA,ProMED Mail,Allafrica.com [edited],NA
Liberia,Liberia,NA,Ebola,Humans,NA,2371054,"PRO/AH/EDR> Ebola virus disease - West Africa (04): Guinea, Liberia",http://promedmail.org/direct.php?id=20140331.2371054,3/31/14 22:51,No Tag,NA,NA,NA,NA,6,4,NA,NA,NA,ProMED Mail,FrontPageAfrica (Monrovia) [edited],NA
Liberia,Liberia,Foya,Ebola,Humans,NA,2371054,"PRO/AH/EDR> Ebola virus disease - West Africa (04): Guinea, Liberia",http://promedmail.org/direct.php?id=20140331.2371054,3/31/14 22:51,No Tag,NA,NA,NA,NA,NA,2,2,NA,NA,ProMED Mail,WHO Disease Outbreak News [edited],NA
Guinea,Guinea,NA,Ebola,Humans,NA,2373662,"PRO/AH/EDR> Ebola virus disease - West Africa (05): Guinea, Liberia, Sierra Leone WHO update",http://promedmail.org/direct.php?id=20140401.2373662,4/1/14 21:55,No Tag,NA,NA,NA,NA,122,80,24,13,NA,ProMED Mail,MInistry of Health of Guinea,NA
